XData,YData1,YData2,YData3,YData4
0.3701,-0.398133575777436,-0.455228034999899,0.328403,0.37001
0.3711,-0.397057271249964,-0.453814772163183,0.332172,0.37444
0.3721,-0.395952778227174,-0.452371063527747,0.335854,0.378779
0.3731,-0.394819792414199,-0.450896617829511,0.339445,0.383023
0.3741,-0.393658014118307,-0.449391148501152,0.342948,0.387174
0.3751,-0.392467148407068,-0.447854373829874,0.346362,0.391232
0.3761,-0.391246905266149,-0.446286017114809,0.349687,0.395196
0.3771,-0.389996999756671,-0.444685806823969,0.352925,0.39907
0.3781,-0.388717152172039,-0.44305347675067,0.356075,0.402849
0.3791,-0.387407088194168,-0.441388766169338,0.359138,0.406538
0.3801,-0.386066539049022,-0.439691419990627,0.362115,0.410135
0.3811,-0.384695241661379,-0.437961188915758,0.365005,0.41364
0.3821,-0.383292938808737,-0.436197829589995,0.367811,0.417058
0.3831,-0.381859379274289,-0.434401104755169,0.370531,0.420383
0.3841,-0.380394317998855,-0.432570783401178,0.373169,0.423621
0.3851,-0.378897516231712,-0.430706640916356,0.375722,0.426771
0.3861,-0.37736874168022,-0.428808459236643,0.378194,0.429833
0.3871,-0.375807768658148,-0.426876026993449,0.380586,0.43281
0.3881,-0.374214378232635,-0.424909139660142,0.382895,0.435699
0.3891,-0.372588358369676,-0.422907599697059,0.385127,0.438505
0.3901,-0.370929504078047,-0.42087121669495,0.387279,0.441227
0.3911,-0.369237617551595,-0.418799807516772,0.389355,0.443866
0.3921,-0.367512508309772,-0.416693196437739,0.391354,0.446424
0.3931,-0.365753993336363,-0.414551215283535,0.393278,0.4489
0.3941,-0.363961897216272,-0.412373703566608,0.395129,0.451298
0.3951,-0.36213605227032,-0.410160508620441,0.396906,0.453616
0.3961,-0.360276298687928,-0.40791148573172,0.398612,0.455858
0.3971,-0.358382484657617,-0.405626498270308,0.400248,0.458024
0.3981,-0.356454466495222,-0.403305417816927,0.401814,0.460114
0.3991,-0.354492108769738,-0.400948124288463,0.403314,0.462133
0.4001,-0.352495284426705,-0.398554506060806,0.404746,0.464077
0.4011,-0.350463874909035,-0.396124460089127,0.406114,0.465951
0.4021,-0.348397770275209,-0.393657892025517,0.407418,0.467756
0.4031,-0.346296869314736,-0.391154716333877,0.40866,0.469492
0.4041,-0.344161079660795,-0.388614856402001,0.409841,0.471162
0.4051,-0.341990317899978,-0.386038244650731,0.410962,0.472764
0.4061,-0.339784509679037,-0.383424822640127,0.412026,0.474304
0.4071,-0.337543589808552,-0.380774541172542,0.413032,0.47578
0.4081,-0.335267502363437,-0.378087360392541,0.413984,0.477195
0.4091,-0.332956200780206,-0.375363249883555,0.414883,0.478551
0.4101,-0.330609647950895,-0.372602188761202,0.415728,0.479846
0.4111,-0.328227816313586,-0.369804165763194,0.416524,0.481086
0.4121,-0.325810687939433,-0.366969179335745,0.41727,0.48227
0.4131,-0.323358254616112,-0.364097237716395,0.417968,0.483399
0.4141,-0.320870517927631,-0.361188359013184,0.41862,0.484476
0.4151,-0.318347489330408,-0.358242571280095,0.419227,0.485501
0.4161,-0.315789190225546,-0.35525991258868,0.419792,0.486477
0.4171,-0.313195652027237,-0.35224043109582,0.420314,0.487404
0.4181,-0.310566916227221,-0.349184185107523,0.420796,0.488284
0.4191,-0.307903034455229,-0.3460912431387,0.421239,0.489119
0.4201,-0.305204068535335,-0.342961683968858,0.421645,0.489909
